Company,Designation,Locations,Established Year,Employees Count,Link,HR_Name,Experience,Followers,Skills1,Skills2,Skills3,Skills4,Skills5,Skills6,Skills7,Cluster,Experience Category
MyBillBook (FloBiz),Inside Sales Intern ,Noida,2019,200 - 500 employees,https://www.instahyre.com/job-245062-inside-sales-intern-at-mybillbook-flobiz-noida/,Damini Hanotia,0-1 Years,17488,Channel,Sales,Corporate,Sales,Sales,,,Class2,Fresher
Park+,Key Account Manager ,Gurgaon,2019,200 - 500 employees,https://www.instahyre.com/job-244852-key-account-manager-at-park-gurgaon/,Hitesh Gupta,0-1 Years,79209,Channel,Sales,Corporate,Sales,Key,Account,Management,Class2,Fresher
Park+,Sales Executive ,Jaipur,2019,200 - 500 employees,https://www.instahyre.com/job-244854-sales-executive-at-park-jaipur-lucknow/,Hitesh Gupta,1-3 Years,79209,Channel,Sales,Corporate,Sales,Sales,,,Class2,Junior Level
Sensibull,Customer Support Specialist ,Bangalore,2017,10 - 50 employees,https://www.instahyre.com/job-245064-customer-support-specialist-at-sensibull-bangalore/,Hr Team,1-5 Years,3000,Customer,Service,Telecalling,,,,,Class2,Junior Level
Swiggy,Manager,Gurgaon,2014,More than 1000 employees,https://www.instahyre.com/job-245066-manager-hrbp-at-swiggy-gurgaon/,Shivani Kukreja,2-4 Years,1000000,Employee,Engagement,Payroll,Management,,,,Class1,Junior Level
LTIMindtree,AEM Developer ,Bangalore,1996,More than 1000 employees,https://www.instahyre.com/job-244254-aem-developer-at-ltimindtree-2-bangalore-hyderabad-mumbai/,Akshata,3-6 Years,452194,Adobe,Experience,Manager,,,,,Class1,Junior Level
LTIMindtree,Automation Testing ,Bangalore,1996,More than 1000 employees,https://www.instahyre.com/job-243944-automation-testing-at-ltimindtree-2-bangalore/,Akshata,5-6 Years,452194,API,Testing,Appium,Cucumber,JMeter,Java,,Class1,Mid-Level
LTIMindtree,Azure Databricks Developer ,Bangalore,1996,More than 1000 employees,https://www.instahyre.com/job-244244-azure-databricks-developer-at-ltimindtree-2-bangalore-chennai-mumbai/,Akshata,5-6 Years,452194,Databricks,Hadoop,Spark,ETL,PySpark,Snowflake,,Class1,Mid-Level
LTIMindtree,Azure DevOps Engineer ,Mumbai,1996,More than 1000 employees,https://www.instahyre.com/job-243943-azure-devops-engineer-at-ltimindtree-2-mumbai/,Akshata,4-6 Years,452194,Ansible,Azure,CI,CD,DevOps,Kafka,,Class1,Mid-Level
LTIMindtree,Big Data,Bangalore,1996,More than 1000 employees,https://www.instahyre.com/job-244245-big-data-java-spark-developer-at-ltimindtree-2-bangalore-chennai-mumbai/,Akshata,5-6 Years,452194,Amazon,Redshift,Big,Data,Data,Analysis,,Class1,Mid-Level
LTIMindtree,GCP Developer ,Bangalore,1996,More than 1000 employees,https://www.instahyre.com/job-244242-gcp-developer-at-ltimindtree-2-bangalore-chennai-mumbai/,Akshata,5-6 Years,452194,BigQuery,Google,Cloud,Python,Dataflow,,,Class1,Mid-Level
LTIMindtree,Informatica IICS Developer ,Bangalore,1996,More than 1000 employees,https://www.instahyre.com/job-244250-informatica-iics-developer-at-ltimindtree-2-bangalore-hyderabad-mumbai/,Akshata,5-6 Years,452194,Informatica,Informatica,PowerCenter,,,,,Class1,Mid-Level
LTIMindtree,Oracle,Mumbai,1996,More than 1000 employees,https://www.instahyre.com/job-244251-oracle-uft-testing-at-ltimindtree-2-mumbai/,Akshata,3-5 Years,452194,Automation,Testing,QTP,,,,,Class1,Junior Level
LTIMindtree,PL / SQL Developer ,Bangalore,1996,More than 1000 employees,https://www.instahyre.com/job-244247-pl-sql-developer-at-ltimindtree-2-bangalore-hyderabad-mumbai/,Akshata,5-6 Years,452194,Oracle,RAC,,,,,,Class1,Mid-Level
LTIMindtree,Snowflake Developer ,Bangalore,1996,More than 1000 employees,https://www.instahyre.com/job-244246-snowflake-developer-at-ltimindtree-2-bangalore-chennai-mumbai/,Akshata,5-6 Years,452194,Data,Warehousing,ETL,SQL,Snowflake,,,Class1,Mid-Level
Dunzo,Sales Associate ,Mumbai,2014,200 - 500 employees,https://www.instahyre.com/job-243003-sales-associate-at-dunzo-mumbai/,Shreya Shandilya,1-2 Years,314000,Field,Work,Lead,Generation,Sales,,,Class2,Junior Level
Google,Senior Software Engineer,Bangalore,1998,More than 1000 employees,https://www.instahyre.com/job-242200-senior-software-engineer-database-at-google-2-bangalore-hyderabad/,Hari Hara Eshwaran S,6-10 Years,29000000,Database,Administration,Database,Development,,,,Class3,Mid-Level
Google,Senior Software Engineer,Bangalore,1998,More than 1000 employees,https://www.instahyre.com/job-242970-senior-software-engineer-full-stack-at-google-2-bangalore-hyderabad/,Hari Hara Eshwaran S,6-10 Years,29000000,API,Testing,Angular,Database,Development,,,Class3,Mid-Level
Ivy Homes,Sales / Senior Sales Associate ,Bangalore,2021,0 - 10 employees,https://www.instahyre.com/job-243628-sales-senior-sales-associate-at-ivy-homes-bangalore/,Pritam Thakur,1-5 Years,3000,Business,Development,Lead,Generation,Sales,,,Class2,Junior Level
LTIMindtree,Fullstack Developer,Mumbai,1996,More than 1000 employees,https://www.instahyre.com/job-243942-fullstack-developer-net-azure-at-ltimindtree-2-mumbai/,Akshata,3-6 Years,452194,Angular,Azure,Bootstrap,CSS,,,,Class1,Junior Level
LTIMindtree,React.js Developer ,Mumbai,1996,More than 1000 employees,https://www.instahyre.com/job-243941-reactjs-developer-at-ltimindtree-2-mumbai/,Akshata,3-6 Years,452194,CSS,HTML,JavaScript,jQuery,,,,Class1,Junior Level
Treebo,Regional Supply Head ,Kolkata,2015,200 - 500 employees,https://www.instahyre.com/job-243544-regional-supply-head-at-treebo-kolkata-mumbai/,Advita Karkera,5-8 Years,115338,Business,Development,Channel,Sales,,,,Class2,Mid-Level
Treebo,"Territory Sales Manager Bangalore, Gurgaon, Mumbai ",Bangalore,2015,200 - 500 employees,https://www.instahyre.com/job-243541-territory-sales-manager-bangalore-gurgaon-mumbai-at-treebo-bangalore-gurgaon-mumbai/,Advita Karkera,2-6 Years,115338,Business,Development,Channel,Sales,Corporate,Sales,,Class2,Junior Level
Treebo,"Territory Sales Manager Gujarat, Chandigarh, Indore ",Chandigarh,2015,200 - 500 employees,https://www.instahyre.com/job-243542-territory-sales-manager-gujarat-chandigarh-indore-at-treebo-chandigarh-gandhinagar-indore/,Advita Karkera,2-6 Years,115338,Business,Development,Channel,Sales,Corporate,Sales,,Class2,Junior Level
Treebo,"Territory Sales Manager Jamshedpur, Kolkata, Ranchi ",Jamshedpur,2015,200 - 500 employees,https://www.instahyre.com/job-243543-territory-sales-manager-jamshedpur-kolkata-ranchi-at-treebo-jamshedpur-kolkata-ranchi/,Advita Karkera,2-6 Years,115338,Business,Development,Corporate,Sales,Direct,Sales,Sales,Class2,Junior Level
Airtel Africa,Business Intelligence Developer,Gurgaon,2010,More than 1000 employees,https://www.instahyre.com/job-249562-business-intelligence-developer-at-airtel-africa-2-gurgaon/,Dhanista Singh,2-6 Years,96000,Unix,Shell,Scripting,Business,Intelligence,Talend,,Class1,Junior Level
Delta Air Lines,Engineer,Bangalore,1928,More than 1000 employees,https://www.instahyre.com/job-249557-engineer-cloud-security-at-delta-air-lines-bangalore/,Sumita Suryawanshi,2-4 Years,1000000,Python,AWS,CI,CD,,,,Class1,Junior Level
Delta Air Lines,Senior Reliability Engineer,Bangalore,1928,More than 1000 employees,https://www.instahyre.com/job-249570-senior-reliability-engineer-at-delta-air-lines-bangalore/,Suvidha Karkal,4-6 Years,1000000,DevOps,AWS,CloudFormation,Java,Python,AWS,,Class1,Mid-Level
GlobalLogic,Technical Product Manager,Bangalore,2000,More than 1000 employees,https://www.instahyre.com/job-249554-technical-product-manager-at-globallogic-bangalore/,Akanksha Thakur,8-13 Years,749000,Product,Management,Big,Data,Data,Warehousing,,Class1,Senior Level
Google,Senior Software Engineer,Bangalore,1998,More than 1000 employees,https://www.instahyre.com/job-242196-senior-software-engineer-big-data-at-google-2-bangalore-hyderabad/,Hari Hara Eshwaran S,6-10 Years,29000000,Cloud,Computing,Hadoop,Hive,Java,Jupyter,Spark,Class3,Mid-Level
Google,Senior Software Engineer,Bangalore,1998,More than 1000 employees,https://www.instahyre.com/job-242194-senior-software-engineer-networking-at-google-2-bangalore-hyderabad/,Hari Hara Eshwaran S,6-10 Years,29000000,C,Networking,,,,,,Class3,Mid-Level
Marketwick,UI / UX Designer,Noida,2019,10 - 50 employees,https://www.instahyre.com/job-249569-ui-ux-designer-at-marketwick-noida/,Satish Agrawal,2-7 Years,40,HTML,CSS,Angular,Bootstrap,,,,Class2,Junior Level
Oro,Product Manager,Chennai,2020,0 - 10 employees,https://www.instahyre.com/job-249555-product-manager-at-oro-chennai/,Reshma Gutha,4-6 Years,5000,Product,Management,Product,Lifecycle,Management,Jira,,Class2,Mid-Level
Rambus,Principal Engineer,Bangalore,1990,500 - 1000 employees,https://www.instahyre.com/job-249559-principal-engineer-at-rambus-bangalore/,Gatti Santosh Kumar,7-12 Years,51000,RTL,STA,Verilog,SystemVerilog,PCIE,,,Class4,Senior Level
Reevoy,QA,Mumbai,2020,50 - 200 employees,https://www.instahyre.com/job-249561-qa-automation-at-reevoy-mumbai/,Shubham Saxena,2-6 Years,17580,Selenium,JMeter,Automation,Testing,Performance,Testing,,Class2,Junior Level
Calix,Principal Software Engineers,Bangalore,1999,More than 1000 employees,https://www.instahyre.com/job-249540-principal-software-engineers-at-calix-bangalore/,Gatti Santosh Kumar,15-20 Years,44000,DHCP,PPPOE,,,,,,Class1,Senior Level
Calix,Staff Software Engineers,Bangalore,1999,More than 1000 employees,https://www.instahyre.com/job-249544-staff-software-engineers-at-calix-bangalore/,Gatti Santosh Kumar,10-15 Years,44000,MPLS,Multithreading,OSPF,,,,,Class1,Senior Level
Delta Air Lines,Lead Developer,Bangalore,1928,More than 1000 employees,https://www.instahyre.com/job-249551-lead-developer-devops-at-delta-air-lines-bangalore/,Sumita Suryawanshi,7-10 Years,1000000,AWS,Docker,Kubernetes,,,,,Class1,Senior Level
Flatworld Solutions,NetSuite Developer,Bangalore,2002,More than 1000 employees,https://www.instahyre.com/job-249522-netsuite-developer-at-flatworld-solutions-bangalore/,Ayushi Srivastava,4-8 Years,21000,NetSuite,JavaScript,,,,,,Class1,Mid-Level
Inspire Brands,Manager Data Enterprise,Hyderabad,2018,More than 1000 employees,https://www.instahyre.com/job-249532-manager-data-enterprise-at-inspire-brands-hyderabad/,Thanusha Reddy,8-12 Years,84000,ETL,Azure,SQL,Data,Warehousing,,,Class1,Senior Level
ITC Hotels,Associate Manager,Guntur,1975,More than 1000 employees,https://www.instahyre.com/job-249521-associate-manager-ld-talent-management-at-itc-hotels-guntur/,Asmita Gupta,1-6 Years,324000,Learning,and,Development,Employee,Engagement,,,Class1,Junior Level
Lululemon,Machine Learning Lead [T500,Bangalore,1998,More than 1000 employees,https://www.instahyre.com/job-249537-machine-learning-lead-t500-6210-at-lululemon-bangalore/,Omkar Sonawane,10-15 Years,744000,Machine,Learning,Python,,,,,Class1,Senior Level
MUFG,VP,Bangalore,1900,More than 1000 employees,https://www.instahyre.com/job-249546-vp-infrastructure-development-t500-7171-at-mufg-bangalore/,Omkar Sonawane,15-20 Years,289000,MPLS,WAN,,,,,,Class1,Senior Level
Tavant Technologies,Software Engineer,Bangalore,2000,More than 1000 employees,https://www.instahyre.com/job-249539-software-engineer-at-tavant-technologies-2-bangalore/,Pavithra S,5-10 Years,100000,Lightning,Web,Components,Apex,Salesforce,,,Class1,Mid-Level
Tekion,Frontend Architect,Bangalore,2016,50 - 200 employees,https://www.instahyre.com/job-249535-frontend-architect-at-tekion-bangalore/,Priyanka Mahindrakar,11-15 Years,80000,JavaScript,React,Native,HTML,CSS,,,Class2,Senior Level
Calix,Principal Software Engineers,Bangalore,1999,More than 1000 employees,https://www.instahyre.com/job-249540-principal-software-engineers-at-calix-bangalore/,Gatti Santosh Kumar,15-20 Years,44000,DHCP,PPPOE,,,,,,Class1,Senior Level
Calix,Staff Software Engineers,Bangalore,1999,More than 1000 employees,https://www.instahyre.com/job-249544-staff-software-engineers-at-calix-bangalore/,Gatti Santosh Kumar,10-15 Years,44000,MPLS,Multithreading,OSPF,,,,,Class1,Senior Level
HomeCapital,Senior Graphic Designer,Mumbai,2017,10 - 50 employees,https://www.instahyre.com/job-249508-senior-graphic-designer-at-homecapital-mumbai/,Ghayez K B,4-8 Years,3000,Graphic,Design,Illustrator,Sketch,InDesign,Figma,,Class2,Mid-Level
Inspire Brands,Identity Management Solutions Okta Developer / Engi,Hyderabad,2018,More than 1000 employees,https://www.instahyre.com/job-249515-identity-management-solutions-okta-developer-engi-at-inspire-brands-hyderabad/,Lavanya B,4-8 Years,84000,Okta,Java,PowerShell,Groovy,JSP,,,Class1,Mid-Level
Lemnisk,Director,Bangalore,2009,50 - 200 employees,https://www.instahyre.com/job-249504-director-sales-business-development-at-lemnisk-bangalore/,Yash Singh,6-9 Years,6000,Business,Development,Corporate,Sales,Sales,,,Class2,Mid-Level
LogiNext,Associate Vice President,Mumbai,2014,50 - 200 employees,https://www.instahyre.com/job-249514-associate-vice-president-product-engineering-at-loginext-mumbai/,Rituparna Borah,11-16 Years,34000,iOS,Swift,Hybrid,Apps,Android,,,Class2,Senior Level
Agivant Technologies,Senior Data Scientist,Pune,2023,10 - 50 employees,https://www.instahyre.com/job-249486-senior-data-scientist-at-agivant-technologies-pune/,Gogineni Bhavya,9-12 Years,78,Python,Machine,Learning,Algorithms,Data,Visualization,,Class2,Senior Level
Bajaj Finserv,Node.js Developer,Bangalore,2007,More than 1000 employees,https://www.instahyre.com/job-249496-nodejs-developer-lead-at-bajaj-finserv-bangalore/,Aneesha Chandrabhanu,7-11 Years,942000,MongoDB,,,,,,,Class1,Senior Level
Bizongo,Customer Success Manager,Mumbai,2014,200 - 500 employees,https://www.instahyre.com/job-249492-customer-success-manager-at-bizongo-mumbai/,Garima Joshi,5-7 Years,48000,Data,Analysis,Microsoft,Office,Customer,Interaction,,Class2,Mid-Level
Here Technologies,Front End Developer,Bangalore,1995,More than 1000 employees,https://www.instahyre.com/job-249495-front-end-developer-lead-at-here-technologies-2-bangalore/,Nirosha Yalawar,5-10 Years,200000,Angular,Java,DevOps,JavaScript,Kubernetes,,,Class1,Mid-Level
Hub,Cloud Network Architect,Gurgaon,2021,50 - 200 employees,https://www.instahyre.com/job-249485-cloud-network-architect-at-hub-gurgaon/,Roshan Muniraj,10-13 Years,6477,OSI,Networking,Azure,DevOps,CI,CD,,Class2,Senior Level
Kemsys Technologies,Embedded Technical Lead,Bangalore,2009,10 - 50 employees,https://www.instahyre.com/job-249500-embedded-technical-lead-at-kemsys-technologies-bangalore/,Amulya Nelawar,6-10 Years,4000,Linux,BSP,Firmware,Development,Embedded,Systems,IoT,Class2,Mid-Level
Larsen & Toubro Infotech,Fullstack Developer,Chennai,1997,More than 1000 employees,https://www.instahyre.com/job-249499-fullstack-developer-at-larsen-toubro-infotech-chennai/,Somya Singh Parihar,4-6 Years,2000000,Java,Spring,Boot,Angular,AWS,SQL,,Class1,Mid-Level
PhysicsWallah,Android Developer,Noida,2014,More than 1000 employees,https://www.instahyre.com/job-249498-android-developer-sde3-at-physicswallah-noida/,Manjari Rastogi,5-7 Years,193211,Kotlin,Android,Java,,,,,Class1,Mid-Level
S.C. Nordic,IoT Engineer,Bangalore,2013,0 - 10 employees,https://www.instahyre.com/job-249501-iot-engineer-at-sc-bangalore/,Rohit Dutt,1-4 Years,137,MQTT,Docker,Python,,,,,Class2,Junior Level
Xindus Trade Networks,Senior Software Engineer,Bangalore,2022,10 - 50 employees,https://www.instahyre.com/job-249489-senior-software-engineer-at-xindus-trade-networks-bangalore/,Himanshu G,3-7 Years,0,JavaScript,Java,Spring,,,,,Class2,Junior Level
Broadway Technology,Senior Software Engineer,Hyderabad,2003,50 - 200 employees,https://www.instahyre.com/job-249481-senior-software-engineer-at-broadway-technology-hyderabad/,Mahak Kankane,5-10 Years,7000,Data,Structures,Algorithms,SQL,,,,Class2,Mid-Level
Broadway Technology,Senior Software Engineer,Hyderabad,2003,50 - 200 employees,https://www.instahyre.com/job-249483-senior-software-engineer-at-broadway-technology-hyderabad/,Mahak Kankane,5-10 Years,7000,JavaScript,HTML,CSS,Redux,,,,Class2,Mid-Level
Calix,Senior Software Engineer,Bangalore,1999,More than 1000 employees,https://www.instahyre.com/job-249484-senior-software-engineer-at-calix-bangalore/,Harshini Dongari,10-15 Years,44000,Java,MQTT,Load,Balancing,,,,Class1,Senior Level
D. E. Shaw,Lead Quality Assurance Engineer,Hyderabad,1988,More than 1000 employees,https://www.instahyre.com/job-249474-lead-quality-assurance-engineer-at-d-e-hyderabad/,Sravani I,6-10 Years,130388,Manual,Testing,Automation,Testing,Linux,Java,,Class1,Mid-Level
Donyati,Software Engineer,Bangalore,2015,50 - 200 employees,https://www.instahyre.com/job-249472-software-engineer-at-donyati-bangalore/,Venkatesh Palani,2-4 Years,24000,Java,,,,,,,Class2,Junior Level
Emint,QA,Bangalore,2022,0 - 10 employees,https://www.instahyre.com/job-249473-qa-at-emint-bangalore/,Priya Desai,6-9 Years,10000,Android,Appium,Automation,Testing,Python,Selenium,,Class2,Mid-Level
Nirvana Insurance,Data Scientist,Bangalore,2021,10 - 50 employees,https://www.instahyre.com/job-249476-data-scientist-at-nirvana-insurance-bangalore/,Mahak Kankane,3-5 Years,2000,Python,Machine,Learning,NLP,Big,Data,Data,Class2,Junior Level
Tekion,Software Architect,Bangalore,2016,50 - 200 employees,https://www.instahyre.com/job-249477-software-architect-backend-at-tekion-bangalore/,Ravindra Rathod,11-16 Years,80000,Java,Architecture,Distributed,Systems,Data,Structures,,Class2,Senior Level
Tekion,Technical Architect,Bangalore,2016,50 - 200 employees,https://www.instahyre.com/job-249482-technical-architect-frontend-at-tekion-bangalore/,Ravindra Rathod,11-16 Years,80000,React,Native,JavaScript,Architecture,,,,Class2,Senior Level
Tessell,SDET,Bangalore,2021,10 - 50 employees,https://www.instahyre.com/job-249479-sdet-at-tessell-2-bangalore/,Meenal Sharma,6-8 Years,996,REST,Assured,pytest,Selenium,Java,Python,,Class2,Mid-Level
Broadway Technology,Senior Software Engineer,Hyderabad,2003,50 - 200 employees,https://www.instahyre.com/job-249481-senior-software-engineer-at-broadway-technology-hyderabad/,Mahak Kankane,5-10 Years,7000,Data,Structures,Algorithms,SQL,,,,Class2,Mid-Level
Broadway Technology,Senior Software Engineer,Hyderabad,2003,50 - 200 employees,https://www.instahyre.com/job-249483-senior-software-engineer-at-broadway-technology-hyderabad/,Mahak Kankane,5-10 Years,7000,JavaScript,HTML,CSS,Redux,,,,Class2,Mid-Level
Calix,Senior Software Engineer,Bangalore,1999,More than 1000 employees,https://www.instahyre.com/job-249484-senior-software-engineer-at-calix-bangalore/,Harshini Dongari,10-15 Years,44000,Java,MQTT,Load,Balancing,,,,Class1,Senior Level
D. E. Shaw,Lead Quality Assurance Engineer,Hyderabad,1988,More than 1000 employees,https://www.instahyre.com/job-249474-lead-quality-assurance-engineer-at-d-e-hyderabad/,Sravani I,6-10 Years,130388,Manual,Testing,Automation,Testing,Linux,Java,,Class1,Mid-Level
Donyati,Software Engineer,Bangalore,2015,50 - 200 employees,https://www.instahyre.com/job-249472-software-engineer-at-donyati-bangalore/,Venkatesh Palani,2-4 Years,24000,Java,,,,,,,Class2,Junior Level
Emint,QA,Bangalore,2022,0 - 10 employees,https://www.instahyre.com/job-249473-qa-at-emint-bangalore/,Priya Desai,6-9 Years,10000,Android,Appium,Automation,Testing,Python,Selenium,,Class2,Mid-Level
Nirvana Insurance,Data Scientist,Bangalore,2021,10 - 50 employees,https://www.instahyre.com/job-249476-data-scientist-at-nirvana-insurance-bangalore/,Mahak Kankane,3-5 Years,2000,Python,Machine,Learning,NLP,Big,Data,Data,Class2,Junior Level
Tekion,Software Architect,Bangalore,2016,50 - 200 employees,https://www.instahyre.com/job-249477-software-architect-backend-at-tekion-bangalore/,Ravindra Rathod,11-16 Years,80000,Java,Architecture,Distributed,Systems,Data,Structures,,Class2,Senior Level
Tekion,Technical Architect,Bangalore,2016,50 - 200 employees,https://www.instahyre.com/job-249482-technical-architect-frontend-at-tekion-bangalore/,Ravindra Rathod,11-16 Years,80000,React,Native,JavaScript,Architecture,,,,Class2,Senior Level
Altimetrik,Data Engineer,Work From Home,2012,More than 1000 employees,https://www.instahyre.com/job-249423-data-engineer-at-altimetrik-work-from-home/,Kusha Bedre,5-8 Years,136000,Big,Data,Hadoop,Spark,Python,Scala,,Class1,Mid-Level
Altimetrik,Engineer I / II,Work From Home,2012,More than 1000 employees,https://www.instahyre.com/job-249417-engineer-i-ii-enterprise-secrets-management-at-altimetrik-work-from-home/,Kusha Bedre,8-13 Years,136000,Terraform,AWS,Kubernetes,Python,Shell,Scripting,,Class1,Senior Level
Altimetrik,UI Designer,Work From Home,2012,More than 1000 employees,https://www.instahyre.com/job-249414-ui-designer-lead-at-altimetrik-work-from-home/,Kusha Bedre,6-11 Years,136000,Angular,JavaScript,HTML,CSS,Bootstrap,,,Class1,Mid-Level
